comuna,geocodigo,p01,vacante,cuenta,prop
13101,13101011001,1,0,15,0.75
13101,13101011001,1,1,5,0.25
13101,13101011001,2,0,1316,0.900752908966461
13101,13101011001,2,1,145,0.0992470910335387
13101,13101011002,1,0,28,0.7
13101,13101011002,1,1,12,0.3
13101,13101011002,2,0,1439,0.895457373988799
13101,13101011002,2,1,168,0.104542626011201
13101,13101011003,1,0,27,0.658536585365854
13101,13101011003,1,1,14,0.341463414634146
13101,13101011003,2,0,1257,0.89402560455192
13101,13101011003,2,1,149,0.10597439544808
13101,13101011004,1,0,24,0.413793103448276
13101,13101011004,1,1,34,0.586206896551724
13101,13101011004,2,0,1230,0.836165873555405
13101,13101011004,2,1,241,0.163834126444596
13101,13101011005,1,0,35,0.625
13101,13101011005,1,1,21,0.375
13101,13101011005,2,0,1132,0.873456790123457
13101,13101011005,2,1,164,0.126543209876543
13101,13101021001,1,0,42,0.525
13101,13101021001,1,1,38,0.475
13101,13101021001,2,0,1503,0.939375
13101,13101021001,2,1,97,0.060625
13101,13101021002,1,0,32,0.941176470588235
13101,13101021002,1,1,2,0.0588235294117647
13101,13101021002,2,0,1494,0.96574014221073
13101,13101021002,2,1,53,0.0342598577892696
13101,13101021003,1,0,64,0.842105263157895
13101,13101021003,1,1,12,0.157894736842105
13101,13101021003,2,0,1521,0.983193277310924
13101,13101021003,2,1,26,0.0168067226890756
13101,13101021004,1,0,27,0.54
13101,13101021004,1,1,23,0.46
13101,13101021004,2,0,1539,0.945912722802704
13101,13101021004,2,1,88,0.0540872771972956
13101,13101021005,1,0,29,0.475409836065574
13101,13101021005,1,1,32,0.524590163934426
13101,13101021005,2,0,1135,0.902943516308671
13101,13101021005,2,1,122,0.0970564836913286
13101,13101021006,1,0,15,0.428571428571429
13101,13101021006,1,1,20,0.571428571428571
13101,13101021006,2,0,1363,0.879922530664945
13101,13101021006,2,1,186,0.120077469335055
13101,13101021007,1,0,37,0.725490196078431
13101,13101021007,1,1,14,0.274509803921569
13101,13101021007,2,0,1203,0.95098814229249
13101,13101021007,2,1,62,0.0490118577075099
13101,13101021008,1,0,25,0.892857142857143
13101,13101021008,1,1,3,0.107142857142857
13101,13101021008,2,0,844,0.972350230414747
13101,13101021008,2,1,24,0.0276497695852535
13101,13101031001,1,0,32,0.96969696969697
13101,13101031001,1,1,1,0.0303030303030303
13101,13101031001,2,0,1195,0.990878938640133
13101,13101031001,2,1,11,0.00912106135986733
13101,13101031002,1,0,70,0.864197530864198
13101,13101031002,1,1,11,0.135802469135802
13101,13101031002,2,0,2697,0.951658433309809
13101,13101031002,2,1,137,0.0483415666901905
13101,13101031003,1,0,43,0.811320754716981
13101,13101031003,1,1,10,0.188679245283019
13101,13101031003,2,0,2483,0.962403100775194
13101,13101031003,2,1,97,0.0375968992248062
13101,13101031004,1,0,15,0.882352941176471
13101,13101031004,1,1,2,0.117647058823529
13101,13101031004,2,0,2058,0.958993476234856
13101,13101031004,2,1,88,0.0410065237651445
13101,13101031005,1,0,18,0.6
13101,13101031005,1,1,12,0.4
13101,13101031005,2,0,1044,0.870725604670559
13101,13101031005,2,1,155,0.129274395329441
13101,13101031006,1,0,10,0.344827586206897
13101,13101031006,1,1,19,0.655172413793103
13101,13101031006,2,0,905,0.685087055261166
13101,13101031006,2,1,416,0.314912944738834
13101,13101031007,1,0,30,0.75
13101,13101031007,1,1,10,0.25
13101,13101031007,2,0,1545,0.963817841547099
13101,13101031007,2,1,58,0.0361821584529008
13101,13101041001,1,0,154,0.900584795321637
13101,13101041001,1,1,17,0.0994152046783626
13101,13101041001,2,0,941,0.963152507676561
13101,13101041001,2,1,36,0.0368474923234391
13101,13101041002,1,0,127,0.808917197452229
13101,13101041002,1,1,30,0.191082802547771
13101,13101041002,2,0,975,0.965346534653465
13101,13101041002,2,1,35,0.0346534653465347
13101,13101041003,1,0,63,0.9
13101,13101041003,1,1,7,0.1
13101,13101041003,2,0,1139,0.885692068429238
13101,13101041003,2,1,147,0.114307931570762
13101,13101041004,1,0,119,0.937007874015748
13101,13101041004,1,1,8,0.062992125984252
13101,13101041004,2,0,1070,0.963963963963964
13101,13101041004,2,1,40,0.036036036036036
13101,13101041005,1,0,115,0.798611111111111
13101,13101041005,1,1,29,0.201388888888889
13101,13101041005,2,0,935,0.959958932238193
13101,13101041005,2,1,39,0.040041067761807
13101,13101051001,1,0,207,0.936651583710407
13101,13101051001,1,1,14,0.0633484162895928
13101,13101051001,2,0,1061,0.97250229147571
13101,13101051001,2,1,30,0.0274977085242896
13101,13101051002,1,0,691,0.945280437756498
13101,13101051002,1,1,40,0.0547195622435021
13101,13101051002,2,0,716,0.974149659863946
13101,13101051002,2,1,19,0.0258503401360544
13101,13101051003,1,0,348,0.940540540540541
13101,13101051003,1,1,22,0.0594594594594595
13101,13101051003,2,0,268,0.712765957446809
13101,13101051003,2,1,108,0.287234042553192
13101,13101061001,1,0,389,0.967661691542289
13101,13101061001,1,1,13,0.0323383084577114
13101,13101061001,2,0,1143,0.978595890410959
13101,13101061001,2,1,25,0.0214041095890411
13101,13101061002,1,0,458,0.89453125
13101,13101061002,1,1,54,0.10546875
13101,13101061002,2,0,825,0.835866261398176
13101,13101061002,2,1,162,0.164133738601824
13101,13101061003,1,0,489,0.905555555555556
13101,13101061003,1,1,51,0.0944444444444444
13101,13101061003,2,0,321,0.975683890577508
13101,13101061003,2,1,8,0.0243161094224924
13101,13101071001,1,0,568,0.95142378559464
13101,13101071001,1,1,29,0.0485762144053601
13101,13101071001,2,0,1132,0.806842480399145
13101,13101071001,2,1,271,0.193157519600855
13101,13101071002,1,0,515,0.973534971644612
13101,13101071002,1,1,14,0.0264650283553875
13101,13101071002,2,0,476,0.981443298969072
13101,13101071002,2,1,9,0.0185567010309278
13101,13101071003,1,0,219,0.920168067226891
13101,13101071003,1,1,19,0.0798319327731092
13101,13101071003,2,0,1075,0.961538461538461
13101,13101071003,2,1,43,0.0384615384615385
13101,13101081001,1,0,98,0.882882882882883
13101,13101081001,1,1,13,0.117117117117117
13101,13101081001,2,0,1187,0.969771241830065
13101,13101081001,2,1,37,0.0302287581699346
13101,13101081002,1,0,742,0.938053097345133
13101,13101081002,1,1,49,0.0619469026548673
13101,13101081002,2,0,807,0.980558930741191
13101,13101081002,2,1,16,0.0194410692588092
13101,13101081003,1,0,411,0.951388888888889
13101,13101081003,1,1,21,0.0486111111111111
13101,13101081003,2,0,761,0.976893453145058
13101,13101081003,2,1,18,0.0231065468549422
13101,13101081004,1,0,158,0.918604651162791
13101,13101081004,1,1,14,0.0813953488372093
13101,13101081004,2,0,743,0.789585547290117
13101,13101081004,2,1,198,0.210414452709883
13101,13101091001,1,0,597,0.914241960183767
13101,13101091001,1,1,56,0.0857580398162328
13101,13101091001,2,0,554,0.62247191011236
13101,13101091001,2,1,336,0.377528089887641
13101,13101091002,1,0,205,0.891304347826087
13101,13101091002,1,1,25,0.108695652173913
13101,13101091002,2,0,1132,0.959322033898305
13101,13101091002,2,1,48,0.0406779661016949
13101,13101091003,1,0,161,0.797029702970297
13101,13101091003,1,1,41,0.202970297029703
13101,13101091003,2,0,1079,0.976470588235294
13101,13101091003,2,1,26,0.0235294117647059
13101,13101091004,1,0,588,0.97029702970297
13101,13101091004,1,1,18,0.0297029702970297
13101,13101091004,2,0,427,0.953125
13101,13101091004,2,1,21,0.046875
13101,13101101001,1,0,13,0.565217391304348
13101,13101101001,1,1,10,0.434782608695652
13101,13101101001,2,0,1179,0.956980519480519
13101,13101101001,2,1,53,0.0430194805194805
13101,13101101002,1,0,34,0.53125
13101,13101101002,1,1,30,0.46875
13101,13101101002,2,0,936,0.982161594963274
13101,13101101002,2,1,17,0.0178384050367261
13101,13101101003,1,0,19,0.76
13101,13101101003,1,1,6,0.24
13101,13101101003,2,0,1519,0.957151858853182
13101,13101101003,2,1,68,0.0428481411468179
13101,13101101004,1,0,40,0.851063829787234
13101,13101101004,1,1,7,0.148936170212766
13101,13101101004,2,0,1353,0.97198275862069
13101,13101101004,2,1,39,0.0280172413793103
13101,13101101005,1,0,26,0.8125
13101,13101101005,1,1,6,0.1875
13101,13101101005,2,0,1044,0.964879852125693
13101,13101101005,2,1,38,0.0351201478743068
13101,13101101006,1,0,21,0.67741935483871
13101,13101101006,1,1,10,0.32258064516129
13101,13101101006,2,0,715,0.972789115646258
13101,13101101006,2,1,20,0.0272108843537415
13101,13101101007,1,0,28,0.8
13101,13101101007,1,1,7,0.2
13101,13101101007,2,0,1624,0.968973747016707
13101,13101101007,2,1,52,0.0310262529832936
13101,13101101008,1,0,19,0.904761904761905
13101,13101101008,1,1,2,0.0952380952380952
13101,13101101008,2,0,863,0.982915717539863
13101,13101101008,2,1,15,0.0170842824601367
13101,13101101009,1,0,22,0.88
13101,13101101009,1,1,3,0.12
13101,13101101009,2,0,823,0.971664698937426
13101,13101101009,2,1,24,0.0283353010625738
13101,13101101010,1,0,92,0.828828828828829
13101,13101101010,1,1,19,0.171171171171171
13101,13101101010,2,0,1439,0.982252559726962
13101,13101101010,2,1,26,0.0177474402730375
13101,13101111001,1,0,12,0.571428571428571
13101,13101111001,1,1,9,0.428571428571429
13101,13101111001,2,0,1058,0.948028673835126
13101,13101111001,2,1,58,0.0519713261648746
13101,13101111002,1,0,24,0.75
13101,13101111002,1,1,8,0.25
13101,13101111002,2,0,1511,0.963033779477374
13101,13101111002,2,1,58,0.0369662205226259
13101,13101111003,1,0,52,0.753623188405797
13101,13101111003,1,1,17,0.246376811594203
13101,13101111003,2,0,1281,0.927588703837799
13101,13101111003,2,1,100,0.0724112961622013
13101,13101111004,1,0,56,0.875
13101,13101111004,1,1,8,0.125
13101,13101111004,2,0,956,0.980512820512821
13101,13101111004,2,1,19,0.0194871794871795
13101,13101111005,1,0,24,0.8
13101,13101111005,1,1,6,0.2
13101,13101111005,2,0,1099,0.988309352517986
13101,13101111005,2,1,13,0.0116906474820144
13101,13101111006,1,0,43,0.877551020408163
13101,13101111006,1,1,6,0.122448979591837
13101,13101111006,2,0,879,0.936102236421725
13101,13101111006,2,1,60,0.0638977635782748
13101,13101111007,1,0,38,0.95
13101,13101111007,1,1,2,0.05
13101,13101111007,2,0,945,0.987460815047022
13101,13101111007,2,1,12,0.0125391849529781
13101,13101111008,1,0,111,0.81021897810219
13101,13101111008,1,1,26,0.18978102189781
13101,13101111008,2,0,1099,0.944969905417025
13101,13101111008,2,1,64,0.0550300945829751
13101,13101111009,1,0,87,0.925531914893617
13101,13101111009,1,1,7,0.074468085106383
13101,13101111009,2,0,1502,0.975324675324675
13101,13101111009,2,1,38,0.0246753246753247
13101,13101111010,1,0,59,0.983333333333333
13101,13101111010,1,1,1,0.0166666666666667
13101,13101111010,2,0,1369,0.984184040258807
13101,13101111010,2,1,22,0.0158159597411934
13101,13101111011,1,0,21,0.807692307692308
13101,13101111011,1,1,5,0.192307692307692
